Run ID,Name,Source Type,Source Name,User,Status,elasticNetParam,estimator,estimatorParamMapsLength,evaluator,fitIntercept,maxDepth,mlEstimatorUid,mlModelClass,numTrees,regParam,smoothing,f1
00c4733daf664bb2a8a963198a793e4f,,,,mklasby@gmail.com,RUNNING,,,,,,15,RandomForestClassifier_8be1060d5418,RandomForestClassifier,20,,,0.2801908761025335
2377f92e6b6644debacbebb62c12743a,,,,mklasby@gmail.com,RUNNING,,,,,,10,RandomForestClassifier_8be1060d5418,RandomForestClassifier,20,,,0.2686276358705679
760ffbfaf09b455cba42c1931205d1ec,,,,mklasby@gmail.com,RUNNING,,,,,,5,RandomForestClassifier_8be1060d5418,RandomForestClassifier,20,,,0.2484119046116848
2abe293bd76f4fac85ae4cd0b585493e,,,,mklasby@gmail.com,RUNNING,,,,,,3,RandomForestClassifier_8be1060d5418,RandomForestClassifier,20,,,0.23843112155325538
52852f5b06dc403790fac117508eb8c9,,,,mklasby@gmail.com,RUNNING,,,,,,1,RandomForestClassifier_8be1060d5418,RandomForestClassifier,20,,,0.10286342471612628
47a17112ce244e00ba493582a284d4a3,,,,mklasby@gmail.com,RUNNING,,,,,,15,RandomForestClassifier_8be1060d5418,RandomForestClassifier,15,,,0.2781408467767683
7dc1f2d55c9d4bfebd20d273072b4a4f,,,,mklasby@gmail.com,RUNNING,,,,,,10,RandomForestClassifier_8be1060d5418,RandomForestClassifier,15,,,0.265194485487218
bd7a035ead88441ba93ca4b48f3246f6,,,,mklasby@gmail.com,RUNNING,,,,,,5,RandomForestClassifier_8be1060d5418,RandomForestClassifier,15,,,0.2345104115060171
248866819b8a4d9289bc9730f616ad06,,,,mklasby@gmail.com,RUNNING,,,,,,3,RandomForestClassifier_8be1060d5418,RandomForestClassifier,15,,,0.23515295417824839
070dbb5610d3442a9ab0909074a79f10,,,,mklasby@gmail.com,RUNNING,,,,,,1,RandomForestClassifier_8be1060d5418,RandomForestClassifier,15,,,0.08968537487238745
753f7196d6454c64b59e4640265be4d0,,,,mklasby@gmail.com,RUNNING,,,,,,15,RandomForestClassifier_8be1060d5418,RandomForestClassifier,10,,,0.269709800556452
832706c383ea4adba8329701e77e7b9c,,,,mklasby@gmail.com,RUNNING,,,,,,10,RandomForestClassifier_8be1060d5418,RandomForestClassifier,10,,,0.26538766461976065
45d486f45ff54440bcc7d282346f23cf,,,,mklasby@gmail.com,RUNNING,,,,,,5,RandomForestClassifier_8be1060d5418,RandomForestClassifier,10,,,0.23630543750686536
d84e43bb568648a3a0d86777d8524d30,,,,mklasby@gmail.com,RUNNING,,,,,,3,RandomForestClassifier_8be1060d5418,RandomForestClassifier,10,,,0.22054513042215793
53e4ea622af74bd199024a9bdbb9e146,,,,mklasby@gmail.com,RUNNING,,,,,,1,RandomForestClassifier_8be1060d5418,RandomForestClassifier,10,,,0.10061398901365151
29caa90dda3d45ac826ac0efbf2375b6,,,,mklasby@gmail.com,RUNNING,,,,,,15,RandomForestClassifier_8be1060d5418,RandomForestClassifier,5,,,0.22877204212353566
13c966598593485591a90fd31a17cde5,,,,mklasby@gmail.com,RUNNING,,,,,,10,RandomForestClassifier_8be1060d5418,RandomForestClassifier,5,,,0.21838575265283838
049b5b0fa34a49f3b62ab69100483d2b,,,,mklasby@gmail.com,RUNNING,,,,,,5,RandomForestClassifier_8be1060d5418,RandomForestClassifier,5,,,0.1806014102408054
9955781217354dcd92c96ef735bbac50,,,,mklasby@gmail.com,RUNNING,,,,,,3,RandomForestClassifier_8be1060d5418,RandomForestClassifier,5,,,0.15580815600107298
cd7f04ebfff84a57a0a0b6527c2b4592,,,,mklasby@gmail.com,RUNNING,,,,,,1,RandomForestClassifier_8be1060d5418,RandomForestClassifier,5,,,0.05997144278912439
